# z (m)           wake (V/pC)     z (m)          wake-log-term (V/pC)
3.050000e-03    1.047976e+00    3.050000e-03    4.194067e-01
3.060000e-03    1.089729e+00    3.060000e-03    5.012736e-01
3.070000e-03    1.129471e+00    3.070000e-03    5.789242e-01
3.080000e-03    1.166276e+00    3.080000e-03    6.515386e-01
3.090000e-03    1.201147e+00    3.090000e-03    7.201709e-01
3.100000e-03    1.234510e+00    3.100000e-03    7.853677e-01
3.110000e-03    1.265786e+00    3.110000e-03    8.466214e-01
3.120000e-03    1.295439e+00    3.120000e-03    9.045178e-01
3.130000e-03    1.322462e+00    3.130000e-03    9.581197e-01
3.140000e-03    1.347978e+00    3.140000e-03    1.008598e+00
3.150000e-03    1.372101e+00    3.150000e-03    1.056149e+00
3.160000e-03    1.394621e+00    3.160000e-03    1.100694e+00
3.170000e-03    1.416000e+00    3.170000e-03    1.142740e+00
3.180000e-03    1.436064e+00    3.180000e-03    1.182170e+00
3.190000e-03    1.454061e+00    3.190000e-03    1.218321e+00
3.200000e-03    1.470994e+00    3.200000e-03    1.252247e+00
3.210000e-03    1.486999e+00    3.210000e-03    1.284143e+00
3.220000e-03    1.501187e+00    3.220000e-03    1.313188e+00
3.230000e-03    1.515182e+00    3.230000e-03    1.341063e+00
3.240000e-03    1.528346e+00    3.240000e-03    1.367181e+00
3.250000e-03    1.539866e+00    3.250000e-03    1.390761e+00
3.260000e-03    1.550401e+00    3.260000e-03    1.412584e+00
3.270000e-03    1.560144e+00    3.270000e-03    1.432807e+00
3.280000e-03    1.569441e+00    3.280000e-03    1.451898e+00
3.290000e-03    1.576980e+00    3.290000e-03    1.468529e+00
3.300000e-03    1.584751e+00    3.300000e-03    1.484769e+00
3.310000e-03    1.591845e+00    3.310000e-03    1.499683e+00
3.320000e-03    1.598707e+00    3.320000e-03    1.513854e+00
3.330000e-03    1.603945e+00    3.330000e-03    1.525878e+00
3.340000e-03    1.608701e+00    3.340000e-03    1.536888e+00
3.350000e-03    1.612992e+00    3.350000e-03    1.546999e+00
3.360000e-03    1.616954e+00    3.360000e-03    1.556330e+00
3.370000e-03    1.620415e+00    3.370000e-03    1.564762e+00
3.380000e-03    1.623024e+00    3.380000e-03    1.571985e+00
3.390000e-03    1.625866e+00    3.390000e-03    1.579090e+00
3.400000e-03    1.628205e+00    3.400000e-03    1.585336e+00
3.410000e-03    1.630370e+00    3.410000e-03    1.591153e+00
3.420000e-03    1.632264e+00    3.420000e-03    1.596385e+00
3.430000e-03    1.632689e+00    3.430000e-03    1.599898e+00
3.440000e-03    1.633250e+00    3.440000e-03    1.603256e+00
3.450000e-03    1.633540e+00    3.450000e-03    1.606184e+00
3.460000e-03    1.633520e+00    3.460000e-03    1.608565e+00
3.470000e-03    1.634004e+00    3.470000e-03    1.611259e+00
3.480000e-03    1.634120e+00    3.480000e-03    1.613406e+00
3.490000e-03    1.633346e+00    3.490000e-03    1.614460e+00
3.500000e-03    1.632728e+00    3.500000e-03    1.615553e+00
3.510000e-03    1.631993e+00    3.510000e-03    1.616412e+00
3.520000e-03    1.630949e+00    3.520000e-03    1.616803e+00
3.530000e-03    1.629751e+00    3.530000e-03    1.616881e+00
3.540000e-03    1.628282e+00    3.540000e-03    1.616646e+00
3.550000e-03    1.626793e+00    3.550000e-03    1.616256e+00
3.560000e-03    1.625305e+00    3.560000e-03    1.615748e+00
3.570000e-03    1.623623e+00    3.570000e-03    1.615007e+00
3.580000e-03    1.621845e+00    3.580000e-03    1.614031e+00
3.590000e-03    1.619835e+00    3.590000e-03    1.612781e+00
3.600000e-03    1.617786e+00    3.600000e-03    1.611415e+00
3.610000e-03    1.615621e+00    3.610000e-03    1.609892e+00
3.620000e-03    1.613591e+00    3.620000e-03    1.608448e+00
3.630000e-03    1.611426e+00    3.630000e-03    1.606808e+00
3.640000e-03    1.609145e+00    3.640000e-03    1.605012e+00
3.650000e-03    1.606845e+00    3.650000e-03    1.603139e+00
3.660000e-03    1.604313e+00    3.660000e-03    1.600991e+00
3.670000e-03    1.601819e+00    3.670000e-03    1.598844e+00
3.680000e-03    1.599538e+00    3.680000e-03    1.596892e+00
3.690000e-03    1.597103e+00    3.690000e-03    1.594745e+00
3.700000e-03    1.594686e+00    3.700000e-03    1.592598e+00
3.710000e-03    1.592193e+00    3.710000e-03    1.590333e+00
3.720000e-03    1.589603e+00    3.720000e-03    1.587952e+00
3.730000e-03    1.587051e+00    3.730000e-03    1.585610e+00
3.740000e-03    1.584422e+00    3.740000e-03    1.583150e+00
3.750000e-03    1.581987e+00    3.750000e-03    1.580886e+00
3.760000e-03    1.579628e+00    3.760000e-03    1.578660e+00
3.770000e-03    1.577154e+00    3.770000e-03    1.576318e+00
3.780000e-03    1.574680e+00    3.780000e-03    1.573937e+00
3.790000e-03    1.572225e+00    3.790000e-03    1.571594e+00
3.800000e-03    1.569731e+00    3.800000e-03    1.569213e+00
3.810000e-03    1.567180e+00    3.810000e-03    1.566714e+00
3.820000e-03    1.564783e+00    3.820000e-03    1.564411e+00
3.830000e-03    1.562618e+00    3.830000e-03    1.562303e+00
3.840000e-03    1.560298e+00    3.840000e-03    1.560038e+00
3.850000e-03    1.558056e+00    3.850000e-03    1.557852e+00
3.860000e-03    1.555872e+00    3.860000e-03    1.555744e+00
3.870000e-03    1.553591e+00    3.870000e-03    1.553480e+00
