# f (GHz)        Re[Z] (Ohm/m)     Im[Z] (Ohm/m)
4.7600000e+00    4.1265213e+03    4.0920876e+03
4.7700000e+00    4.1221359e+03    4.0876819e+03
4.7800000e+00    4.1177506e+03    4.0832762e+03
4.7900000e+00    4.1133653e+03    4.0788704e+03
4.8000000e+00    4.1089800e+03    4.0744647e+03
4.8100000e+00    4.1045946e+03    4.0700589e+03
4.8200000e+00    4.1002093e+03    4.0656532e+03
4.8300000e+00    4.0958240e+03    4.0612475e+03
4.8400000e+00    4.0914386e+03    4.0568417e+03
4.8500000e+00    4.0870533e+03    4.0524360e+03
4.8600000e+00    4.0826680e+03    4.0480303e+03
4.8700000e+00    4.0782827e+03    4.0436245e+03
4.8800000e+00    4.0738973e+03    4.0392188e+03
4.8900000e+00    4.0695120e+03    4.0348130e+03
4.9000000e+00    4.0651267e+03    4.0304073e+03
4.9100000e+00    4.0607413e+03    4.0260016e+03
4.9200000e+00    4.0563560e+03    4.0215958e+03
4.9300000e+00    4.0519707e+03    4.0171901e+03
4.9400000e+00    4.0475854e+03    4.0127844e+03
4.9500000e+00    4.0432000e+03    4.0083786e+03
4.9600000e+00    4.0388147e+03    4.0039729e+03
4.9700000e+00    4.0344294e+03    3.9995671e+03
4.9800000e+00    4.0300440e+03    3.9951614e+03
4.9900000e+00    4.0256587e+03    3.9907557e+03
5.0000000e+00    4.0212734e+03    3.9863499e+03
5.0100000e+00    4.0168881e+03    3.9819442e+03
5.0200000e+00    4.0125027e+03    3.9775385e+03
5.0300000e+00    4.0081174e+03    3.9731327e+03
5.0400000e+00    4.0037321e+03    3.9687270e+03
5.0500000e+00    3.9993468e+03    3.9643213e+03
5.0600000e+00    3.9949614e+03    3.9599155e+03
5.0700000e+00    3.9905761e+03    3.9555098e+03
5.0800000e+00    3.9861908e+03    3.9511040e+03
5.0900000e+00    3.9818054e+03    3.9466983e+03
