# f (Hz)        Re[Z] (Ohm/m)     Im[Z] (Ohm/m)
3.1700000e+03    1.4191776e+07    5.2692091e+07
3.1800000e+03    1.4194091e+07    5.2667392e+07
3.1900000e+03    1.4196405e+07    5.2642693e+07
3.2000000e+03    1.4198720e+07    5.2617994e+07
3.2100000e+03    1.4201034e+07    5.2593295e+07
3.2200000e+03    1.4203349e+07    5.2568595e+07
3.2300000e+03    1.4205663e+07    5.2543896e+07
3.2400000e+03    1.4207978e+07    5.2519197e+07
3.2500000e+03    1.4210292e+07    5.2494498e+07
3.2600000e+03    1.4212607e+07    5.2469799e+07
3.2700000e+03    1.4214921e+07    5.2445099e+07
3.2800000e+03    1.4217236e+07    5.2420400e+07
3.2900000e+03    1.4219550e+07    5.2395701e+07
3.3000000e+03    1.4221865e+07    5.2371002e+07
3.3100000e+03    1.4224179e+07    5.2346303e+07
3.3200000e+03    1.4226494e+07    5.2321603e+07
3.3300000e+03    1.4228808e+07    5.2296904e+07
3.3400000e+03    1.4231123e+07    5.2272205e+07
3.3500000e+03    1.4233437e+07    5.2247506e+07
3.3600000e+03    1.4235752e+07    5.2222807e+07
3.3700000e+03    1.4238066e+07    5.2198107e+07
3.3800000e+03    1.4240381e+07    5.2173408e+07
3.3900000e+03    1.4242695e+07    5.2148709e+07
3.4000000e+03    1.4245010e+07    5.2124010e+07
3.4100000e+03    1.4247324e+07    5.2099311e+07
3.4200000e+03    1.4249639e+07    5.2074611e+07
3.4300000e+03    1.4251953e+07    5.2049912e+07
3.4400000e+03    1.4254268e+07    5.2025213e+07
3.4500000e+03    1.4256582e+07    5.2000514e+07
3.4600000e+03    1.4258897e+07    5.1975814e+07
3.4700000e+03    1.4261211e+07    5.1951115e+07
3.4800000e+03    1.4263526e+07    5.1926416e+07
3.4900000e+03    1.4265840e+07    5.1901717e+07
3.5000000e+03    1.4268155e+07    5.1877018e+07
3.5100000e+03    1.4270469e+07    5.1852318e+07
3.5200000e+03    1.4272784e+07    5.1827619e+07
3.5300000e+03    1.4275098e+07    5.1802920e+07
