# f (Hz)        Re[Z] (Ohm/m)     Im[Z] (Ohm/m)
4.2200000e+03    2.9778803e+06    4.2174978e+06
4.2300000e+03    2.9763762e+06    4.2147702e+06
4.2400000e+03    2.9748721e+06    4.2120426e+06
4.2500000e+03    2.9733680e+06    4.2093151e+06
4.2600000e+03    2.9718639e+06    4.2065875e+06
4.2700000e+03    2.9703599e+06    4.2038599e+06
4.2800000e+03    2.9688558e+06    4.2011324e+06
4.2900000e+03    2.9673517e+06    4.1984048e+06
4.3000000e+03    2.9658476e+06    4.1956772e+06
4.3100000e+03    2.9643435e+06    4.1929497e+06
4.3200000e+03    2.9628395e+06    4.1902221e+06
4.3300000e+03    2.9613354e+06    4.1874945e+06
4.3400000e+03    2.9598313e+06    4.1847670e+06
4.3500000e+03    2.9583272e+06    4.1820394e+06
4.3600000e+03    2.9568231e+06    4.1793119e+06
4.3700000e+03    2.9553190e+06    4.1765843e+06
4.3800000e+03    2.9538150e+06    4.1738567e+06
4.3900000e+03    2.9523109e+06    4.1711292e+06
4.4000000e+03    2.9508068e+06    4.1684016e+06
4.4100000e+03    2.9493027e+06    4.1656740e+06
4.4200000e+03    2.9477986e+06    4.1629465e+06
4.4300000e+03    2.9462946e+06    4.1602189e+06
4.4400000e+03    2.9447905e+06    4.1574913e+06
4.4500000e+03    2.9432864e+06    4.1547638e+06
4.4600000e+03    2.9417823e+06    4.1520362e+06
4.4700000e+03    2.9402782e+06    4.1493086e+06
4.4800000e+03    2.9387741e+06    4.1465811e+06
4.4900000e+03    2.9372701e+06    4.1438535e+06
4.5000000e+03    2.9357660e+06    4.1411259e+06
4.5100000e+03    2.9342619e+06    4.1383984e+06
4.5200000e+03    2.9327578e+06    4.1356708e+06
4.5300000e+03    2.9312537e+06    4.1329433e+06
4.5400000e+03    2.9297497e+06    4.1302157e+06
4.5500000e+03    2.9282456e+06    4.1274881e+06
4.5600000e+03    2.9267415e+06    4.1247606e+06
4.5700000e+03    2.9252374e+06    4.1220330e+06
4.5800000e+03    2.9237333e+06    4.1193054e+06
4.5900000e+03    2.9222292e+06    4.1165779e+06
4.6000000e+03    2.9207252e+06    4.1138503e+06
4.6100000e+03    2.9192211e+06    4.1111227e+06
4.6200000e+03    2.9177170e+06    4.1083952e+06
4.6300000e+03    2.9162129e+06    4.1056676e+06
4.6400000e+03    2.9147088e+06    4.1029400e+06
4.6500000e+03    2.9132048e+06    4.1002125e+06
4.6600000e+03    2.9117007e+06    4.0974849e+06
4.6700000e+03    2.9101966e+06    4.0947573e+06
4.6800000e+03    2.9086925e+06    4.0920298e+06
4.6900000e+03    2.9071884e+06    4.0893022e+06
4.7000000e+03    2.9056843e+06    4.0865747e+06
4.7100000e+03    2.9041803e+06    4.0838471e+06
4.7200000e+03    2.9026762e+06    4.0811195e+06
4.7300000e+03    2.9011721e+06    4.0783920e+06
4.7400000e+03    2.8996680e+06    4.0756644e+06
4.7500000e+03    2.8981639e+06    4.0729368e+06
4.7600000e+03    2.8966599e+06    4.0702093e+06
4.7700000e+03    2.8951558e+06    4.0674817e+06
4.7800000e+03    2.8936517e+06    4.0647541e+06
4.7900000e+03    2.8921476e+06    4.0620266e+06
4.8000000e+03    2.8906435e+06    4.0592990e+06
4.8100000e+03    2.8891394e+06    4.0565714e+06
4.8200000e+03    2.8876354e+06    4.0538439e+06
4.8300000e+03    2.8861313e+06    4.0511163e+06
4.8400000e+03    2.8846272e+06    4.0483887e+06
4.8500000e+03    2.8831231e+06    4.0456612e+06
4.8600000e+03    2.8816190e+06    4.0429336e+06
4.8700000e+03    2.8801150e+06    4.0402061e+06
4.8800000e+03    2.8786109e+06    4.0374785e+06
4.8900000e+03    2.8771068e+06    4.0347509e+06
4.9000000e+03    2.8756027e+06    4.0320234e+06
4.9100000e+03    2.8740986e+06    4.0292958e+06
4.9200000e+03    2.8725945e+06    4.0265682e+06
